course_id,student_id,batch
1,21,CS1
2,22,DSA1
3,23,DBMS1
4,24,CN1
1,25,OS1
6,26,DSA1
7,27,WT1
8,28,AI1
9,29,SE1
10,30,CyS1
1,31,CG1
2,32,CS1
3,33,DSA1
4,34,DBMS1
5,35,CN1
6,36,OS1
7,37,DSA1
8,38,WT1
9,39,AI1
10,40,SE1
1,41,CyS1
2,42,CG1
3,43,CS1
4,44,DSA1
5,45,DBMS1
6,46,CN1
7,47,OS1
8,48,DSA1
9,49,WT1
10,50,AI1
1,51,SE1
2,52,CyS1
3,53,CG1
4,54,CS1
5,55,DSA1
1,56,DBMS1
7,57,CN1
8,58,OS1
9,59,DSA1
10,60,WT1
1,61,AI1
2,62,SE1
3,63,CyS1
4,64,CG1
5,65,CS1
1,66,DSA1
7,67,DBMS1
8,68,CN1
9,69,OS1
10,70,DSA1
